Crab,Width Carapace,Length Carapace,Weight,Sex,Berried,Habitat,Missing Chelae,Missing Walking Leg,Date
1.92,37,29,13.28,F,N,Open/Pool,NA,NA,25/10/22
1.93,52,40,28.73,F,N,Open/Pool,NA,NA,25/10/22
1.94,50,37,30.3,M,N,Open/Pool,NA,NA,25/10/22
1.95,56,46,43.85,F,Y,Open/Pool,NA,NA,25/10/22
1.96,46,35,26.4,F,N,Open/Pool,NA,NA,25/10/22
1.97,45,37,22.23,F,N,Open/Pool,NA,NA,25/10/22
1.98,44,33,20.15,F,N,Open/Pool,NA,NA,25/10/22
1.99,53,41,33.65,F,N,Open/Pool,NA,NA,25/10/22
1.100,49,38,25.5,F,N,Open/Pool,NA,NA,25/10/22
1.101,52,44,35.06,F,N,Open/Pool,NA,NA,25/10/22
1.102,58,45,43.55,F,N,Open/Pool,NA,NA,25/10/22
1.103,40,34,16.37,F,Y,Open/Pool,NA,NA,25/10/22
1.104,40,31,16.79,F,N,Open/Pool,NA,NA,25/10/22
2.1,66,56,72.74,F,Y,Wall,1,0,25/11/ 05
2.2,52,42,32.26,M,N,Wall,1,2,25/11/ 05
2.3,53,42,37.62,M,N,Wall,1,2,25/11/ 05
2.4,53,41,38.06,M,N,Wall,0,0,25/11/ 05
2.5,54,44,37.74,M,N,Wall,0,0,25/11/ 05
2.6,76,57,113.78,M,N,Wall,0,3,25/11/ 05
2.7,61,42,49.81,F,N,Wall,0,0,25/11/ 05
2.8,43,33,22.29,F,N,Wall,0,0,25/11/ 05
2.9,37,29,11.74,F,Y,Wall,2,0,25/11/ 05
2.10,43,32,17.96,F,N,Wall,0,2,25/11/ 05
2.11,44,34,21.69,F,N,Wall,0,1,25/11/ 05
2.12,60,46,49.94,F,N,Pool,0,0,
2.13,71,53,94.66,M,N,,0,0,
2.14,73,57,89.73,M,N,,1,0,
2.15,62,48,75.28,M,N,,1,0,
2.16,67,57,82.94,M,N,,0,0,
2.17,58,46,53.09,M,N,,0,0,
2.18,57,44,45.92,M,N,,0,0,
2.19,60,47,50.08,M,N,,0,0,
2.20,59,,,,,,,,
2.21,,,,,,,,,
2.22,,,,,,,,,
2.23,,,,,,,,,
2.24,,,,,,,,,
2.25,,,,,,,,,
2.26,,,,,,,,,
2.27,,,,,,,,,
2.28,,,,,,,,,
2.29,,,,,,,,,
2.30,,,,,,,,,
2.31,,,,,,,,,
2.32,,,,,,,,,
2.33,,,,,,,,,
2.34,,,,,,,,,
2.35,,,,,,,,,
2.36,,,,,,,,,
2.37,,,,,,,,,
2.38,,,,,,,,,
2.39,,,,,,,,,
2.40,,,,,,,,,
2.41,,,,,,,,,
2.42,,,,,,,,,
2.43,,,,,,,,,
2.44,,,,,,,,,
2.45,,,,,,,,,
2.46,,,,,,,,,
2.47,,,,,,,,,
2.48,,,,,,,,,
2.49,,,,,,,,,
2.50,,,,,,,,,
